source,target,weight,direction,sourceAltId,targetAltId,id
ACVRL1,RBPMS2,0.1004,undirected,NA,NA,ACVRL1-RBPMS2
ACVRL1,CCDC178,0.1096,undirected,NA,NA,ACVRL1-CCDC178
ADA,CD53,0.1186,undirected,NA,NA,ADA-CD53
ADA,DOCK2,0.1076,undirected,NA,NA,ADA-DOCK2
ADA,EVI2B,0.1006,undirected,NA,NA,ADA-EVI2B
ADA,NCKAP1L,0.1087,undirected,NA,NA,ADA-NCKAP1L
ADA,IL10RA,0.1063,undirected,NA,NA,ADA-IL10RA
ADA,PLEK,0.1115,undirected,NA,NA,ADA-PLEK
ADA,ARHGAP25,0.1118,undirected,NA,NA,ADA-ARHGAP25
ADA,HCST,0.1068,undirected,NA,NA,ADA-HCST
ADA,CORO1A,0.1056,undirected,NA,NA,ADA-CORO1A
ADA,SASH3,0.1137,undirected,NA,NA,ADA-SASH3
ADA,FERMT3,0.1153,undirected,NA,NA,ADA-FERMT3
ADA,ARHGAP30,0.1219,undirected,NA,NA,ADA-ARHGAP30
ADARB1,PTRF,0.1071,undirected,NA,NA,ADARB1-PTRF
ADCY7,CD86,0.1078,undirected,NA,NA,ADCY7-CD86
ADCY7,CD53,0.1385,undirected,NA,NA,ADCY7-CD53
ADCY7,CYBB,0.1118,undirected,NA,NA,ADCY7-CYBB
ADCY7,DOCK2,0.1281,undirected,NA,NA,ADCY7-DOCK2
ADCY7,EVI2B,0.1154,undirected,NA,NA,ADCY7-EVI2B
ADCY7,HCLS1,0.1013,undirected,NA,NA,ADCY7-HCLS1
ADCY7,NCKAP1L,0.126,undirected,NA,NA,ADCY7-NCKAP1L
ADCY7,IRF8,0.1051,undirected,NA,NA,ADCY7-IRF8
ADCY7,IL10RA,0.1078,undirected,NA,NA,ADCY7-IL10RA
ADCY7,ITGB2,0.1001,undirected,NA,NA,ADCY7-ITGB2
ADCY7,PLEK,0.1277,undirected,NA,NA,ADCY7-PLEK
ADCY7,LAPTM5,0.1184,undirected,NA,NA,ADCY7-LAPTM5
ADCY7,ARHGAP25,0.1112,undirected,NA,NA,ADCY7-ARHGAP25
ADCY7,HCST,0.1083,undirected,NA,NA,ADCY7-HCST
ADCY7,CORO1A,0.1049,undirected,NA,NA,ADCY7-CORO1A
ADCY7,SASH3,0.1176,undirected,NA,NA,ADCY7-SASH3
ADCY7,PARVG,0.1175,undirected,NA,NA,ADCY7-PARVG
ADCY7,FERMT3,0.1175,undirected,NA,NA,ADCY7-FERMT3
ADCY7,ARHGAP30,0.1378,undirected,NA,NA,ADCY7-ARHGAP30
ADH1A,AQP7,0.1687,undirected,NA,NA,ADH1A-AQP7
ADH1A,ASPA,0.1203,undirected,NA,NA,ADH1A-ASPA
ADH1A,C6,0.1387,undirected,NA,NA,ADH1A-C6
ADH1A,CA4,0.1663,undirected,NA,NA,ADH1A-CA4
ADH1A,CAT,0.1051,undirected,NA,NA,ADH1A-CAT
ADH1A,CAV1,0.1536,undirected,NA,NA,ADH1A-CAV1
ADH1A,CD36,0.1501,undirected,NA,NA,ADH1A-CD36
ADH1A,CIDEA,0.1864,undirected,NA,NA,ADH1A-CIDEA
ADH1A,CKMT2,0.1107,undirected,NA,NA,ADH1A-CKMT2
ADH1A,CLU,0.1454,undirected,NA,NA,ADH1A-CLU
ADH1A,CNTFR,0.1436,undirected,NA,NA,ADH1A-CNTFR
ADH1A,AKR1C2,0.1317,undirected,NA,NA,ADH1A-AKR1C2
ADH1A,CFD,0.1067,undirected,NA,NA,ADH1A-CFD
ADH1A,EBF1,0.1229,undirected,NA,NA,ADH1A-EBF1
ADH1A,FABP4,0.1729,undirected,NA,NA,ADH1A-FABP4
ADH1A,FHL1,0.1728,undirected,NA,NA,ADH1A-FHL1
ADH1A,GPD1,0.1997,undirected,NA,NA,ADH1A-GPD1
ADH1A,GPX3,0.165,undirected,NA,NA,ADH1A-GPX3
ADH1A,LEP,0.1483,undirected,NA,NA,ADH1A-LEP
ADH1A,LIPE,0.192,undirected,NA,NA,ADH1A-LIPE
ADH1A,LPL,0.1634,undirected,NA,NA,ADH1A-LPL
ADH1A,MEOX1,0.1186,undirected,NA,NA,ADH1A-MEOX1
ADH1A,PCDH9,0.1252,undirected,NA,NA,ADH1A-PCDH9
ADH1A,PCK1,0.1462,undirected,NA,NA,ADH1A-PCK1
ADH1A,PDE3B,0.1108,undirected,NA,NA,ADH1A-PDE3B
ADH1A,PDK4,0.1018,undirected,NA,NA,ADH1A-PDK4
ADH1A,PFKFB1,0.1099,undirected,NA,NA,ADH1A-PFKFB1
ADH1A,PLIN1,0.2096,undirected,NA,NA,ADH1A-PLIN1
ADH1A,PPARG,0.1035,undirected,NA,NA,ADH1A-PPARG
ADH1A,PPP1R1A,0.1182,undirected,NA,NA,ADH1A-PPP1R1A
ADH1A,PPP2R1B,0.1262,undirected,NA,NA,ADH1A-PPP2R1B
