"";"from";"to";"value"
"656740";"724";"633";1
"656962";"946";"633";1
"657102";"48";"634";1
"657908";"854";"634";1
"657951";"897";"634";1
"658115";"23";"635";1
"658150";"58";"635";1
"658303";"211";"635";1
"658548";"456";"635";1
"658758";"666";"635";1
"658993";"901";"635";1
"659045";"953";"635";1
"659223";"93";"636";1
"659428";"298";"636";1
"659616";"486";"636";1
"659633";"503";"636";1
"659722";"592";"636";1
"659842";"712";"636";1
"659929";"799";"636";1
"659985";"855";"636";1
"660052";"922";"636";1
"660377";"209";"637";1
"660839";"671";"637";1
"661818";"612";"638";1
"661890";"684";"638";1
"662324";"80";"639";1
"662368";"124";"639";1
"662391";"147";"639";1
"662428";"184";"639";1
"662505";"261";"639";1
"662600";"356";"639";1
"662659";"415";"639";1
"662731";"487";"639";1
"663075";"831";"639";1
"663318";"36";"640";1
"663967";"685";"640";1
"664088";"806";"640";1
"664403";"83";"641";1
"664837";"517";"641";1
"665159";"839";"641";1
"665196";"876";"641";1
"665296";"976";"641";1
"665547";"189";"642";1
"665595";"237";"642";1
"666300";"942";"642";1
"667207";"811";"643";1
"667581";"147";"644";1
"667763";"329";"644";1
"667838";"404";"644";1
"667976";"542";"644";1
"668355";"921";"644";1
"668787";"315";"645";1
"669059";"587";"645";1
"669096";"624";"645";1
"669185";"713";"645";1
"669250";"778";"645";1
"669579";"69";"646";1
"670275";"765";"646";1
"671142";"594";"647";1
"671176";"628";"647";1
"671585";"1037";"647";1
"671813";"227";"648";1
"672149";"563";"648";1
"672346";"760";"648";1
"672445";"859";"648";1
"672921";"297";"649";1
"673267";"643";"649";1
"673615";"991";"649";1
"673648";"1024";"649";1
"673672";"10";"650";1
"673811";"149";"650";1
"673841";"179";"650";1
"674142";"480";"650";1
"674150";"488";"650";1
"674460";"798";"650";1
"674495";"833";"650";1
"675908";"170";"652";1
"676239";"501";"652";1
"676364";"626";"652";1
"676410";"672";"652";1
"676559";"821";"652";1
"676681";"943";"652";1
"676740";"1002";"652";1
"677119";"343";"653";1
"677219";"443";"653";1
"677235";"459";"653";1
"677689";"913";"653";1
"678674";"860";"654";1
"678950";"98";"655";1
"679616";"764";"655";1
"679988";"98";"656";1
"680168";"278";"656";1
"680246";"356";"656";1
"680279";"389";"656";1
"680283";"393";"656";1
"680811";"921";"656";1
"681180";"252";"657";1
"681930";"1002";"657";1
"681972";"6";"658";1
"682238";"272";"658";1
"682241";"275";"658";1
"682577";"611";"658";1
"682681";"715";"658";1
"682711";"745";"658";1
"682762";"796";"658";1
"683263";"259";"659";1
"683451";"447";"659";1
"683452";"448";"659";1
"683599";"595";"659";1
"683751";"747";"659";1
"683944";"940";"659";1
"684609";"567";"660";1
"685187";"107";"661";1
"685228";"148";"661";1
"685544";"464";"661";1
"686268";"150";"662";1
"686334";"216";"662";1
"686372";"254";"662";1
"686387";"269";"662";1
"686658";"540";"662";1
"686692";"574";"662";1
"686890";"772";"662";1
"686913";"795";"662";1
"686945";"827";"662";1
"687127";"1009";"662";1
"688374";"180";"664";1
"688413";"219";"664";1
"688432";"238";"664";1
"689074";"880";"664";1
"689156";"962";"664";1
"689172";"978";"664";1
"689443";"211";"665";1
"689688";"456";"665";1
"689815";"583";"665";1
"689907";"675";"665";1
"690135";"903";"665";1
"690293";"23";"666";1
"690409";"139";"666";1
"690905";"635";"666";1
"691705";"397";"667";1
"691761";"453";"667";1
"691838";"530";"667";1
"691911";"603";"667";1
"692063";"755";"667";1
"692210";"902";"667";1
"692304";"996";"667";1
"692369";"23";"668";1
"692783";"437";"668";1
"693027";"681";"668";1
"693291";"945";"668";1
"693712";"328";"669";1
"693973";"589";"669";1
"693990";"606";"669";1
"694003";"619";"669";1
"694111";"727";"669";1
"694156";"772";"669";1
"694436";"14";"670";1
"694793";"371";"670";1
"694864";"442";"670";1
"695669";"209";"671";1
"695747";"287";"671";1
"696097";"637";"671";1
"696555";"57";"672";1
"696999";"501";"672";1
"697124";"626";"672";1
"697150";"652";"672";1
"698026";"490";"673";1
"698135";"599";"673";1
"698711";"137";"674";1
"698835";"261";"674";1
"698870";"296";"674";1
"699503";"929";"674";1
"699545";"971";"674";1
"700159";"547";"675";1
"700358";"746";"675";1
"700363";"751";"675";1
"700416";"804";"675";1
"700515";"903";"675";1
"700663";"13";"676";1
"701124";"474";"676";1
"701246";"596";"676";1
"701330";"680";"676";1
"701586";"936";"676";1
"701701";"13";"677";1
"701769";"81";"677";1
"701874";"186";"677";1
"702364";"676";"677";1
"702641";"953";"677";1
"702966";"240";"678";1
"703203";"477";"678";1
"703308";"582";"678";1
"704419";"655";"679";1
"704528";"764";"679";1
"705180";"378";"680";1
"705478";"676";"680";1
"705738";"936";"680";1
"706277";"437";"681";1
"706508";"668";"681";1
"706785";"945";"681";1
"706880";"2";"682";1
"707046";"168";"682";1
"707261";"383";"682";1
"707324";"446";"682";1
"707970";"54";"683";1
"708348";"432";"683";1
"708428";"512";"683";1
"708727";"811";"683";1
"708742";"826";"683";1
"709085";"131";"684";1
"709592";"638";"684";1
"710228";"236";"685";1
"710509";"517";"685";1
"710547";"555";"685";1
"710608";"616";"685";1
"710632";"640";"685";1
"711180";"150";"686";1
"711244";"214";"686";1
"711766";"736";"686";1
"711818";"788";"686";1
"712452";"384";"687";1
"712986";"918";"687";1
"713546";"440";"688";1
"713643";"537";"688";1
"714075";"969";"688";1
"714577";"433";"689";1
"714668";"524";"689";1
"714972";"828";"689";1
"714996";"852";"689";1
"716120";"938";"690";1
"716322";"102";"691";1
"716523";"303";"691";1
"716955";"735";"691";1
"717188";"968";"691";1
"717382";"124";"692";1
"717488";"230";"692";1
"717526";"268";"692";1
"718039";"781";"692";1
"718146";"888";"692";1
"718859";"563";"693";1
"718944";"648";"693";1
"719054";"758";"693";1
"719056";"760";"693";1
"719138";"842";"693";1
"719155";"859";"693";1
"719740";"406";"694";1
"720383";"11";"695";1
"720512";"140";"695";1
"720631";"259";"695";1
"720760";"388";"695";1
"721541";"131";"696";1
"722116";"706";"696";1
"723168";"720";"697";1
"723231";"783";"697";1
"723955";"469";"698";1
"724358";"872";"698";1
"724503";"1017";"698";1
"724767";"243";"699";1
"724860";"336";"699";1
"724899";"375";"699";1
"725455";"931";"699";1
"725726";"164";"700";1
"725774";"212";"700";1
"725809";"247";"700";1
"725921";"359";"700";1
"726899";"299";"701";1
"728057";"419";"702";1
"728185";"547";"702";1
"728228";"590";"702";1
"728247";"609";"702";1
"728267";"629";"702";1
"728898";"222";"703";1
"729221";"545";"703";1
"729281";"605";"703";1
"729555";"879";"703";1
"729840";"126";"704";1
"729896";"182";"704";1
"730018";"304";"704";1
"730101";"387";"704";1
"730552";"838";"704";1
"730556";"842";"704";1
"730703";"989";"704";1
"730800";"48";"705";1
"731052";"300";"705";1
"731257";"505";"705";1
"731352";"600";"705";1
"731489";"737";"705";1
"731633";"881";"705";1
"731649";"897";"705";1
"731944";"154";"706";1
"732015";"225";"706";1
"732321";"531";"706";1
"732486";"696";"706";1
"732541";"751";"706";1
"732701";"911";"706";1
"732887";"59";"707";1
"733351";"523";"707";1
"733698";"870";"707";1
"733703";"875";"707";1
"733971";"105";"708";1
"734121";"255";"708";1
"734778";"912";"708";1
"735106";"202";"709";1
"736309";"367";"710";1
"737202";"222";"711";1
"737549";"569";"711";1
"737844";"864";"711";1
"738336";"318";"712";1
"738480";"462";"712";1
"738610";"592";"712";1
"738654";"636";"712";1
"739643";"587";"713";1
"739701";"645";"713";1
"739905";"849";"713";1
"740561";"467";"714";1
"741407";"275";"715";1
"741578";"446";"715";1
"741790";"658";"715";1
"741877";"745";"715";1
"741928";"796";"715";1
"742208";"38";"716";1
"742349";"179";"716";1
"742366";"196";"716";1
"742913";"743";"716";1
"743212";"4";"717";1
"743251";"43";"717";1
"743403";"195";"717";1
"743408";"200";"717";1
"743656";"448";"717";1
"744037";"829";"717";1
"744317";"71";"718";1
"744458";"212";"718";1
"744939";"693";"718";1
"745088";"842";"718";1
"746532";"210";"720";1
"747019";"697";"720";1
"747105";"783";"720";1
"747858";"498";"721";1
"748875";"477";"722";1
"748980";"582";"722";1
"749930";"494";"723";1
"750059";"623";"723";1
"750458";"1022";"723";1
"751107";"633";"724";1
"751420";"946";"724";1
"751434";"960";"724";1
"751710";"198";"725";1
"751793";"281";"725";1
"751849";"337";"725";1
"751932";"420";"725";1
"752733";"183";"726";1
"752989";"439";"726";1
"753086";"536";"726";1
"753899";"311";"727";1
"754162";"574";"727";1
"754342";"754";"727";1
"755007";"381";"728";1
"755078";"452";"728";1
"755177";"551";"728";1
"755443";"817";"728";1
"755852";"188";"729";1
"756017";"353";"729";1
"756356";"692";"729";1
"756445";"781";"729";1
"757246";"544";"730";1
"757259";"557";"730";1
"757715";"1013";"730";1
"757733";"1031";"730";1
"758520";"780";"731";1
"758539";"799";"731";1
"758662";"922";"731";1
"758895";"117";"732";1
"758960";"182";"732";1
"759138";"360";"732";1
"759250";"472";"732";1
"759275";"497";"732";1
"759549";"771";"732";1
"759972";"156";"733";1
"760037";"221";"733";1
"760700";"884";"733";1
"760771";"955";"733";1
"762489";"597";"735";1
"762583";"691";"735";1
"763071";"141";"736";1
"763181";"251";"736";1
"763616";"686";"736";1
"763878";"948";"736";1
"764268";"300";"737";1
"764473";"505";"737";1
"764568";"600";"737";1
"764736";"768";"737";1
"765293";"287";"738";1
"766071";"27";"739";1
"766300";"256";"739";1
"766355";"311";"739";1
"766633";"589";"739";1
"766816";"772";"739";1
"766974";"930";"739";1
"767037";"993";"739";1
"767255";"173";"740";1
"767579";"497";"740";1
"767663";"581";"740";1
"768123";"3";"741";1
"768521";"401";"741";1
"768930";"810";"741";1
"769252";"94";"742";1
"769309";"151";"742";1
"769716";"558";"742";1
"770066";"908";"742";1
"770234";"38";"743";1
"770392";"196";"743";1
"770804";"608";"743";1
"770912";"716";"743";1
"771110";"914";"743";1
"771355";"121";"744";1
"771412";"178";"744";1
"771771";"537";"744";1
"772297";"25";"745";1
"772544";"272";"745";1
"772547";"275";"745";1
"772786";"514";"745";1
"772842";"570";"745";1
"772930";"658";"745";1
"772987";"715";"745";1
"773068";"796";"745";1
"773689";"379";"746";1
"773985";"675";"746";1
"774114";"804";"746";1
"774216";"906";"746";1
"774794";"446";"747";1
"774862";"514";"747";1
"774907";"559";"747";1
"775599";"213";"748";1
"775689";"303";"748";1
"775856";"470";"748";1
"776049";"663";"748";1
"776120";"734";"748";1
"776545";"121";"749";1
"777168";"744";"749";1
"777291";"867";"749";1
"777318";"894";"749";1
"777526";"64";"750";1
"777944";"482";"750";1
"778066";"604";"750";1
"778292";"830";"750";1
"778725";"225";"751";1
"779031";"531";"751";1
"779196";"696";"751";1
"779206";"706";"751";1
"780025";"487";"752";1
"780559";"1021";"752";1
"780575";"1037";"752";1
"780615";"39";"753";1
"780699";"123";"753";1
"781170";"594";"753";1
"781207";"631";"753";1
"781280";"704";"753";1
"781334";"758";"753";1
"781414";"838";"753";1
"781629";"15";"754";1
"781925";"311";"754";1
"782041";"427";"754";1
"783156";"504";"755";1
"783495";"843";"755";1
"783833";"143";"756";1
"784416";"726";"756";1
"784530";"840";"756";1
"784649";"959";"756";1
"784673";"983";"756";1
"784936";"208";"757";1
"785120";"392";"757";1
"785425";"697";"757";1
"785610";"882";"757";1
"785637";"909";"757";1
"786414";"648";"758";1
"786459";"693";"758";1
"786625";"859";"758";1
"786906";"102";"759";1
"786933";"129";"759";1
"787539";"735";"759";1
"787765";"961";"759";1
"789082";"202";"761";1
"789363";"483";"761";1
"789589";"709";"761";1
"789702";"822";"761";1
"789982";"64";"762";1
"790076";"158";"762";1
"790184";"266";"762";1
"790329";"411";"762";1
"790862";"944";"762";1
"791006";"50";"763";1
"791512";"556";"763";1
"792092";"98";"764";1
"792649";"655";"764";1
"793086";"54";"765";1
"793678";"646";"765";1
"793843";"811";"765";1
"794187";"117";"766";1
"794841";"771";"766";1
"795200";"92";"767";1
"795434";"326";"767";1
"795500";"392";"767";1
"796446";"300";"768";1
"796651";"505";"768";1
"796688";"542";"768";1
"796883";"737";"768";1
"796904";"758";"768";1
"797224";"40";"769";1
"797227";"43";"769";1
"797423";"239";"769";1
"797444";"260";"769";1
"797682";"498";"769";1
"797763";"579";"769";1
"797966";"782";"769";1
"798138";"954";"769";1
"799114";"892";"770";1
"799344";"84";"771";1
"799405";"145";"771";1
"799598";"338";"771";1
"799714";"454";"771";1
"799775";"515";"771";1
"799799";"539";"771";1
"799872";"612";"771";1
"800115";"855";"771";1
"800129";"869";"771";1
"800325";"27";"772";1
"800567";"269";"772";1
"800626";"328";"772";1
"800887";"589";"772";1
"800904";"606";"772";1
"800917";"619";"772";1
"800967";"669";"772";1
"801037";"739";"772";1
"801228";"930";"772";1
"801386";"50";"773";1
"801410";"74";"773";1
"801658";"322";"773";1
"801694";"358";"773";1
"801732";"396";"773";1
"801772";"436";"773";1
"801965";"629";"773";1
"802038";"702";"773";1
"803297";"923";"774";1
"803927";"515";"775";1
"803962";"550";"775";1
"804532";"82";"776";1
"804667";"217";"776";1
"804829";"379";"776";1
"805529";"41";"777";1
"805611";"123";"777";1
"805651";"163";"777";1
"805973";"485";"777";1
"806082";"594";"777";1
"806642";"116";"778";1
"806716";"190";"778";1
"806866";"340";"778";1
"807155";"629";"778";1
"807312";"786";"778";1
"807506";"980";"778";1
"807521";"995";"778";1
"808576";"1012";"779";1
"808900";"298";"780";1
"809333";"731";"780";1
"809695";"55";"781";1
"810369";"729";"781";1
"810542";"902";"781";1
"810606";"966";"781";1
"810808";"130";"782";1
"812413";"697";"783";1
"812436";"720";"783";1
"813335";"581";"784";1
"813995";"203";"785";1
"814081";"289";"785";1
"814112";"320";"785";1
"814344";"552";"785";1
"814402";"610";"785";1
"814462";"670";"785";1
"814927";"97";"786";1
"815930";"62";"787";1
"816114";"246";"787";1
"816303";"435";"787";1
"816437";"569";"787";1
"816466";"598";"787";1
"816579";"711";"787";1
"816803";"935";"787";1
"817423";"517";"788";1
"817510";"604";"788";1
"817546";"640";"788";1
"818131";"187";"789";1
"819061";"79";"790";1
"819490";"508";"790";1
"819907";"925";"790";1
"821074";"16";"792";1
"821196";"138";"792";1
"821286";"228";"792";1
"821308";"250";"792";1
"821526";"468";"792";1
"822689";"593";"793";1
"823542";"408";"794";1
"823552";"418";"794";1
"823706";"572";"794";1
"824275";"103";"795";1
"824333";"161";"795";1
"824417";"245";"795";1
"824467";"295";"795";1
"824602";"430";"795";1
"825198";"1026";"795";1
"825485";"275";"796";1
"825955";"745";"796";1
"826173";"963";"796";1
"827109";"861";"797";1
"827210";"962";"797";1
"827324";"38";"798";1
"827774";"488";"798";1
"828200";"914";"798";1
"828517";"193";"799";1
"828806";"482";"799";1
"828960";"636";"799";1
"829104";"780";"799";1
"829143";"819";"799";1
"829246";"922";"799";1
"829401";"39";"800";1
"829993";"631";"800";1
"830129";"767";"800";1
"830538";"138";"801";1
"830692";"292";"801";1
"832009";"571";"802";1
"832633";"157";"803";1
"833139";"663";"803";1
"833893";"379";"804";1
"834061";"547";"804";1
"834097";"583";"804";1
"834189";"675";"804";1
"834260";"746";"804";1
"835530";"978";"805";1
"835862";"272";"806";1
"835937";"347";"806";1
"836320";"730";"806";1
"836685";"57";"807";1
"836758";"130";"807";1
"836780";"152";"807";1
"836888";"260";"807";1
"837578";"950";"807";1
"837792";"126";"808";1
"838370";"704";"808";1
"838655";"989";"808";1
"839112";"408";"809";1
"839276";"572";"809";1
"839498";"794";"809";1
"840111";"369";"810";1
"840283";"541";"810";1
"840483";"741";"810";1
"840711";"969";"810";1
"840831";"51";"811";1
"841423";"643";"811";1
"841545";"765";"811";1
"841771";"991";"811";1
"841870";"52";"812";1
"842164";"346";"812";1
"842837";"1019";"812";1
"843129";"273";"813";1
"843414";"558";"813";1
"843802";"946";"813";1
"843811";"955";"813";1
"843900";"6";"814";1
"844333";"439";"814";1
"844364";"470";"814";1
"844386";"492";"814";1
"844430";"536";"814";1
"844620";"726";"814";1
"844834";"940";"814";1
"845211";"279";"815";1
"846207";"237";"816";1
"846277";"307";"816";1
"846280";"310";"816";1
"846309";"339";"816";1
"846516";"546";"816";1
"846708";"738";"816";1
"846801";"831";"816";1
"847389";"381";"817";1
"847460";"452";"817";1
"847559";"551";"817";1
"847736";"728";"817";1
"847886";"878";"817";1
"848226";"180";"818";1
"849699";"615";"819";1
"849796";"712";"819";1
"849864";"780";"819";1
"849883";"799";"819";1
"849907";"823";"819";1
"850388";"266";"820";1
"850471";"349";"820";1
"850536";"414";"820";1
"850708";"586";"820";1
"850722";"600";"820";1
"851003";"881";"820";1
"851288";"128";"821";1
"851301";"141";"821";1
"852103";"943";"821";1
"852365";"167";"822";1
"852433";"235";"822";1
"852959";"761";"822";1
"853198";"1000";"822";1
"853203";"1005";"822";1
"853588";"352";"823";1
"854055";"819";"823";1
"854877";"603";"824";1
"855659";"347";"825";1
"856116";"804";"825";1
"856404";"54";"826";1
"856782";"432";"826";1
"856810";"460";"826";1
"858397";"1009";"827";1
"858521";"95";"828";1
"858859";"433";"828";1
"859115";"689";"828";1
"859278";"852";"828";1
"859345";"919";"828";1
"859468";"4";"829";1
"859507";"43";"829";1
"860043";"579";"829";1
"860181";"717";"829";1
"860566";"64";"830";1
"860636";"134";"830";1
"861106";"604";"830";1
"861603";"63";"831";1
"861777";"237";"831";1
"861827";"287";"831";1
"861850";"310";"831";1
"861879";"339";"831";1
"862043";"503";"831";1
"862182";"642";"831";1
"862278";"738";"831";1
"862468";"928";"831";1
"862645";"67";"832";1
"863762";"146";"833";1
"863929";"313";"833";1
"864266";"650";"833";1
"864728";"74";"834";1
"864907";"253";"834";1
"865012";"358";"834";1
"865050";"396";"834";1
"865345";"691";"834";1
"867110";"380";"836";1
"867805";"37";"837";1
"867833";"65";"837";1
"867977";"209";"837";1
"867983";"215";"837";1
"868061";"293";"837";1
"868405";"637";"837";1
"868538";"770";"837";1
"868660";"892";"837";1
"868883";"77";"838";1
"869927";"83";"839";1
"870186";"342";"839";1
"870361";"517";"839";1
"870485";"641";"839";1
"870700";"856";"839";1
"870720";"876";"839";1
"870820";"976";"839";1
"871533";"651";"840";1
"871865";"983";"840";1
"871982";"62";"841";1
"872080";"160";"841";1
"872355";"435";"841";1
"872362";"442";"841";1
"872707";"787";"841";1
"872786";"866";"841";1
"872837";"917";"841";1
"873262";"304";"842";1
"873651";"693";"842";1
"873852";"894";"842";1
"874751";"755";"843";1
"875268";"234";"844";1
"875916";"882";"844";1
"876612";"540";"845";1
"876947";"875";"845";1
"877020";"948";"845";1
"877302";"192";"846";1
"877398";"288";"846";1
"877451";"341";"846";1
"877894";"784";"846";1
"878163";"15";"847";1
"878551";"403";"847";1
"879193";"7";"848";1
"879349";"163";"848";1
"879383";"197";"848";1
"879470";"284";"848";1
"879596";"410";"848";1
"879677";"491";"848";1
"879994";"808";"848";1
"880035";"849";"848";1
"880634";"410";"849";1
"880715";"491";"849";1
"880826";"602";"849";1
"880937";"713";"849";1
"881072";"848";"849";1
"881610";"348";"850";1
"881618";"356";"850";1
"881772";"510";"850";1
"882335";"35";"851";1
"882498";"198";"851";1
"882638";"338";"851";1
"882754";"454";"851";1
"882835";"535";"851";1
"883432";"94";"852";1
"883433";"95";"852";1
"883851";"513";"852";1
"884027";"689";"852";1
"884293";"955";"852";1
"884625";"249";"853";1
"884854";"478";"853";1
"884965";"589";"853";1
"886048";"634";"854";1
"886396";"982";"854";1
"886856";"404";"855";1
"886980";"528";"855";1
"887208";"756";"855";1
"887345";"893";"855";1
"888131";"641";"856";1
"888175";"685";"856";1
"888385";"895";"856";1
"888390";"900";"856";1
"889017";"489";"857";1
"889024";"496";"857";1
"889588";"22";"858";1
"889598";"32";"858";1
"890060";"494";"858";1
"890289";"723";"858";1
"891297";"693";"859";1
"891684";"42";"860";1
"892183";"541";"860";1
"892296";"654";"860";1
"892704";"24";"861";1
"892790";"110";"861";1
"893380";"700";"861";1
"893477";"797";"861";1
"893721";"3";"862";1
"893815";"97";"862";1
"893956";"238";"862";1
"894144";"426";"862";1
"894646";"928";"862";1
"895083";"327";"863";1
"895191";"435";"863";1
"895743";"987";"863";1
"896074";"280";"864";1
"896363";"569";"864";1
"896427";"633";"864";1
"896505";"711";"864";1
"896573";"779";"864";1
"896781";"987";"864";1
"896977";"145";"865";1
"897038";"206";"865";1
"897052";"220";"865";1
"897253";"421";"865";1
"897750";"918";"865";1
"898116";"246";"866";1
"898711";"841";"866";1
"899281";"373";"867";1
"899374";"466";"867";1
"899650";"742";"867";1
"899894";"986";"867";1
"899905";"997";"867";1
"900442";"496";"868";1
"900680";"734";"868";1
"900897";"951";"868";1
"901014";"30";"869";1
"901159";"175";"869";1
"901513";"529";"869";1
"902213";"191";"870";1
"902545";"523";"870";1
"902669";"647";"870";1
"902729";"707";"870";1
"904637";"539";"872";1
"905115";"1017";"872";1
"905201";"65";"873";1
"905250";"114";"873";1
"905700";"564";"873";1
"905758";"622";"873";1
"906021";"885";"873";1
"906104";"968";"873";1
"906387";"213";"874";1
"906708";"534";"874";1
"906960";"786";"874";1
"907169";"995";"874";1
"907265";"53";"875";1
"907575";"363";"875";1
"908057";"845";"875";1
"908333";"83";"876";1
"908767";"517";"876";1
"908891";"641";"876";1
"908935";"685";"876";1
"909089";"839";"876";1
"909106";"856";"876";1
"909150";"900";"876";1
"909226";"976";"876";1
"910830";"504";"878";1
"911081";"755";"878";1
"911169";"843";"878";1
"911299";"973";"878";1
"911719";"355";"879";1
"911909";"545";"879";1
"911929";"565";"879";1
"911969";"605";"879";1
"912067";"703";"879";1
"912640";"238";"880";1
"913066";"664";"880";1
"913285";"883";"880";1
"913569";"129";"881";1
"914208";"768";"881";1
"914686";"208";"882";1
"914917";"439";"882";1
"914922";"444";"882";1
"914984";"506";"882";1
"914997";"519";"882";1
"915014";"536";"882";1
"915235";"757";"882";1
"915459";"981";"882";1
"915754";"238";"883";1
"915756";"240";"883";1
"916396";"880";"883";1
"916401";"885";"883";1
"916484";"968";"883";1
"916710";"156";"884";1
"916775";"221";"884";1
"916816";"262";"884";1
"916846";"292";"884";1
"917287";"733";"884";1
"918465";"873";"885";1
"918904";"274";"886";1
"919028";"398";"886";1
"919035";"405";"886";1
"919247";"617";"886";1
"919689";"21";"887";1
"920108";"440";"887";1
"920356";"688";"887";1
"920729";"23";"888";1
"921134";"428";"888";1
"921143";"437";"888";1
"921374";"668";"888";1
"921822";"78";"889";1
"922141";"397";"889";1
"922740";"996";"889";1
"923024";"242";"890";1
"923089";"307";"890";1
"924051";"231";"891";1
"924177";"357";"891";1
"924443";"623";"891";1
"924842";"1022";"891";1
"925628";"770";"892";1
"925989";"93";"893";1
"926111";"215";"893";1
"926389";"493";"893";1
"926424";"528";"893";1
"926751";"855";"893";1
"927055";"121";"894";1
"927683";"749";"894";1
"927779";"845";"894";1
"928498";"526";"895";1
"928519";"547";"895";1
"928521";"549";"895";1
"928581";"609";"895";1
"929036";"26";"896";1
"929137";"127";"896";1
"929170";"160";"896";1
"930868";"820";"897";1
"930986";"938";"897";1
"931219";"133";"898";1
"931486";"400";"898";1
"932041";"955";"898";1
"932300";"176";"899";1
"932390";"266";"899";1
"932533";"409";"899";1
"932600";"476";"899";1
"932978";"854";"899";1
"934258";"58";"901";1
"934411";"211";"901";1
"934657";"457";"901";1
"934674";"474";"901";1
"934835";"635";"901";1
"935149";"949";"901";1
"935289";"51";"902";1
"935443";"205";"902";1
"935470";"232";"902";1
"935843";"605";"902";1
"935905";"667";"902";1
"936019";"781";"902";1
"936493";"217";"903";1
"936658";"382";"903";1
"936908";"632";"903";1
"936941";"665";"903";1
"937511";"197";"904";1
"938689";"337";"905";1
"939077";"725";"905";1
"939197";"845";"905";1
"939300";"948";"905";1
"939769";"379";"906";1
"940136";"746";"906";1
"940898";"470";"907";1
"940939";"511";"907";1
"942024";"558";"908";1
"942463";"997";"908";1
"942570";"66";"909";1
"942647";"143";"909";1
"943697";"155";"910";1
"943955";"413";"910";1
"944157";"615";"910";1
"944526";"984";"910";1
"945403";"823";"911";1
"945723";"105";"912";1
"946999";"343";"913";1
"947099";"443";"913";1
"947115";"459";"913";1
"947309";"653";"913";1
"947732";"38";"914";1
"947870";"176";"914";1
"948170";"476";"914";1
"948247";"553";"914";1
"948492";"798";"914";1
"948548";"854";"914";1
"948593";"899";"914";1
"948676";"982";"914";1
"949364";"632";"915";1
"949376";"644";"915";1
"949823";"53";"916";1
"950217";"447";"916";1
"950291";"521";"916";1
"950318";"548";"916";1
"950764";"994";"916";1
"950909";"101";"917";1
"951142";"334";"917";1
"951288";"480";"917";1
"951468";"660";"917";1
"951633";"825";"917";1
"951703";"895";"917";1
"951741";"933";"917";1
"951991";"145";"918";1
"952052";"206";"918";1
"952230";"384";"918";1
"952533";"687";"918";1
"952711";"865";"918";1
"952836";"990";"918";1
"953937";"15";"920";1
"953983";"61";"920";1
"954526";"604";"920";1
"954769";"847";"920";1
"955148";"188";"921";1
"955289";"329";"921";1
"955616";"656";"921";1
"956634";"636";"922";1
"956729";"731";"922";1
"956778";"780";"922";1
"956797";"799";"922";1
"957240";"204";"923";1
"958104";"30";"924";1
"958429";"355";"924";1
"958951";"877";"924";1
"959009";"935";"924";1
"959481";"369";"925";1
"960434";"284";"926";1
"960858";"708";"926";1
"960950";"800";"926";1
"961083";"933";"926";1
"961867";"679";"927";1
"962287";"61";"928";1
"962556";"330";"928";1
"962651";"425";"928";1
"963441";"177";"929";1
"963560";"296";"929";1
"963668";"404";"929";1
"963938";"674";"929";1
"964235";"971";"929";1
"964329";"27";"930";1
"964435";"133";"930";1
"965041";"739";"930";1
"965074";"772";"930";1
"965295";"993";"930";1
"965311";"1009";"930";1
"965715";"375";"931";1
"965833";"493";"931";1
"966298";"958";"931";1
"966809";"431";"932";1
"967097";"719";"932";1
"967517";"101";"933";1
"968030";"614";"933";1
"968216";"800";"933";1
"968342";"926";"933";1
"968514";"60";"934";1
"969269";"815";"934";1
"969522";"30";"935";1
"969714";"222";"935";1
"969829";"337";"935";1
"970061";"569";"935";1
"970090";"598";"935";1
"970279";"787";"935";1
"970369";"877";"935";1
"970416";"924";"935";1
"970908";"378";"936";1
"971126";"596";"936";1
"971207";"677";"936";1
"971210";"680";"936";1
"971812";"244";"937";1
"973192";"586";"938";1
"973296";"690";"938";1
"973503";"897";"938";1
"973658";"14";"939";1
"973735";"91";"939";1
"974773";"91";"940";1
"975123";"441";"940";1
"975174";"492";"940";1
"975383";"701";"940";1
"975496";"814";"940";1
"976258";"538";"941";1
"976764";"6";"942";1
"976941";"183";"942";1
"976947";"189";"942";1
"977295";"537";"942";1
"977400";"642";"942";1
"978617";"821";"943";1
"978898";"64";"944";1
"978992";"158";"944";1
"979245";"411";"944";1
"979596";"762";"944";1
"980383";"511";"945";1
"980553";"681";"945";1
"980902";"1030";"945";1
"981543";"633";"946";1
"981634";"724";"946";1
"981902";"992";"946";1
"983127";"141";"948";1
"983237";"251";"948";1
"983272";"286";"948";1
"983348";"362";"948";1
"983831";"845";"948";1
"983891";"905";"948";1
"984082";"58";"949";1
"984402";"378";"949";1
"984481";"457";"949";1
"984498";"474";"949";1
"984687";"663";"949";1
"984758";"734";"949";1
"984925";"901";"949";1
"985094";"32";"950";1
"985397";"335";"950";1
"985920";"858";"950";1
"986137";"37";"951";1
"986393";"293";"951";1
"986737";"637";"951";1
"986968";"868";"951";1
"986992";"892";"951";1
"987154";"16";"952";1
"987843";"705";"952";1
"988071";"933";"952";1
"988108";"970";"952";1
"988118";"980";"952";1
"988145";"1007";"952";1
"988259";"83";"953";1
"988362";"186";"953";1
"988593";"417";"953";1
"988811";"635";"953";1
"988853";"677";"953";1
"989233";"19";"954";1
"989254";"40";"954";1
"989373";"159";"954";1
